Training loss	Validation loss	
 5.9801e-02	 7.5826e-02	
 6.0169e-02	 7.4832e-02	
 5.9742e-02	 7.4822e-02	
 5.9898e-02	 7.5445e-02	
 5.9957e-02	 7.5379e-02	
 6.0185e-02	 7.4351e-02	
 6.0220e-02	 7.6155e-02	
 6.0117e-02	 7.4193e-02	
 6.0104e-02	 7.6829e-02	
 5.9701e-02	 7.4828e-02	
 6.0280e-02	 7.6532e-02	
 5.9964e-02	 7.4611e-02	
 6.0092e-02	 7.4162e-02	
 6.0169e-02	 7.4936e-02	
 5.9785e-02	 7.5786e-02	
 6.0202e-02	 7.4208e-02	
 6.0182e-02	 7.7094e-02	
 5.9788e-02	 7.4768e-02	
 5.9859e-02	 7.5384e-02	
 6.0173e-02	 7.5768e-02	
 5.9972e-02	 7.6850e-02	
 6.0042e-02	 7.6475e-02	
 6.0161e-02	 7.7046e-02	
 6.0172e-02	 7.5450e-02	
 6.0400e-02	 7.7346e-02	
 5.9899e-02	 7.6919e-02	
 5.9942e-02	 7.6187e-02	
 6.0243e-02	 7.4676e-02	
 5.9975e-02	 7.6334e-02	
 6.0007e-02	 7.5971e-02	
 6.0188e-02	 7.4013e-02	
 6.0016e-02	 7.6478e-02	
 6.0187e-02	 7.4978e-02	
 6.0189e-02	 7.4488e-02	
 6.0215e-02	 7.4896e-02	
 6.0201e-02	 7.4452e-02	
 5.9819e-02	 7.5455e-02	
 6.0285e-02	 7.4913e-02	
 6.0195e-02	 7.4445e-02	
 5.9995e-02	 7.6342e-02	
 6.0108e-02	 7.4908e-02	
 6.0014e-02	 7.4850e-02	
 6.0075e-02	 7.4818e-02	
 6.0463e-02	 7.4510e-02	
 6.0250e-02	 7.4897e-02	
 6.0176e-02	 7.5239e-02	
 6.0183e-02	 7.4177e-02	
 6.0226e-02	 7.4063e-02	
 6.0109e-02	 7.5688e-02	
 5.9674e-02	 7.4675e-02	
 6.0252e-02	 7.5117e-02	
 5.9801e-02	 7.4074e-02	
 6.0285e-02	 7.6232e-02	
 6.0117e-02	 7.4879e-02	
 6.0029e-02	 7.4914e-02	
 6.0065e-02	 7.4690e-02	
 6.0088e-02	 7.5037e-02	
 6.0022e-02	 7.4833e-02	
 6.0086e-02	 7.4737e-02	
 5.9608e-02	 7.5586e-02	
 5.9822e-02	 7.5590e-02	
 6.0156e-02	 7.4416e-02	
 6.0166e-02	 7.4809e-02	
 6.0356e-02	 7.5751e-02	
 5.9848e-02	 7.5087e-02	
 6.0302e-02	 7.4222e-02	
 5.9969e-02	 7.6355e-02	
 6.0765e-02	 7.4919e-02	
 6.0076e-02	 7.7306e-02	
 6.0075e-02	 7.7468e-02	
 6.0180e-02	 7.7261e-02	
 6.0246e-02	 7.5239e-02	
 5.9815e-02	 7.4782e-02	
 6.0493e-02	 7.7044e-02	
 5.9867e-02	 7.5242e-02	
 5.9990e-02	 7.7098e-02	
 6.0386e-02	 7.8598e-02	
 6.1124e-02	 7.5704e-02	
 6.1040e-02	 7.5169e-02	
 5.9985e-02	 7.4725e-02	
 5.9986e-02	 7.4663e-02	
 5.9987e-02	 7.4654e-02	
 5.9987e-02	 7.4653e-02	
 5.9987e-02	 7.4654e-02	
 5.9987e-02	 7.4654e-02	
 5.9987e-02	 7.4655e-02	
 5.9987e-02	 7.4655e-02	
 5.9987e-02	 7.4656e-02	
 5.9987e-02	 7.4656e-02	
 5.9987e-02	 7.4657e-02	
 5.9987e-02	 7.4657e-02	
 5.9986e-02	 7.4658e-02	
 5.9986e-02	 7.4659e-02	
 5.9986e-02	 7.4659e-02	
 5.9986e-02	 7.4660e-02	
 5.9986e-02	 7.4660e-02	
 5.9986e-02	 7.4661e-02	
 5.9986e-02	 7.4661e-02	
 5.9986e-02	 7.4662e-02	
 5.9986e-02	 7.4662e-02	
 5.9986e-02	 7.4663e-02	
 5.9986e-02	 7.4663e-02	
 5.9986e-02	 7.4664e-02	
 5.9986e-02	 7.4664e-02	
 5.9986e-02	 7.4665e-02	
 5.9986e-02	 7.4665e-02	
 5.9985e-02	 7.4666e-02	
 5.9985e-02	 7.4666e-02	
 5.9985e-02	 7.4667e-02	
 5.9985e-02	 7.4667e-02	
 5.9985e-02	 7.4668e-02	
 5.9985e-02	 7.4668e-02	
 5.9985e-02	 7.4669e-02	
 5.9985e-02	 7.4669e-02	
 5.9985e-02	 7.4669e-02	
 5.9985e-02	 7.4670e-02	
 5.9985e-02	 7.4670e-02	
 5.9985e-02	 7.4671e-02	
 5.9985e-02	 7.4671e-02	
 5.9985e-02	 7.4672e-02	
 5.9985e-02	 7.4672e-02	
 5.9985e-02	 7.4673e-02	
 5.9984e-02	 7.4673e-02	
 5.9984e-02	 7.4673e-02	
 5.9984e-02	 7.4674e-02	
 5.9984e-02	 7.4674e-02	
 5.9984e-02	 7.4675e-02	
 5.9984e-02	 7.4675e-02	
 5.9984e-02	 7.4676e-02	
 5.9984e-02	 7.4676e-02	
 5.9984e-02	 7.4676e-02	
 5.9984e-02	 7.4677e-02	
 5.9984e-02	 7.4677e-02	
 5.9984e-02	 7.4678e-02	
 5.9984e-02	 7.4678e-02	
 5.9984e-02	 7.4678e-02	
 5.9984e-02	 7.4679e-02	
 5.9984e-02	 7.4679e-02	
 5.9983e-02	 7.4680e-02	
 5.9983e-02	 7.4680e-02	
 5.9983e-02	 7.4680e-02	
 5.9983e-02	 7.4681e-02	
 5.9983e-02	 7.4681e-02	
 5.9983e-02	 7.4682e-02	
 5.9983e-02	 7.4682e-02	
 5.9983e-02	 7.4682e-02	
 5.9983e-02	 7.4683e-02	
 5.9983e-02	 7.4683e-02	
 5.9983e-02	 7.4683e-02	
 5.9983e-02	 7.4684e-02	
 5.9983e-02	 7.4684e-02	
 5.9983e-02	 7.4684e-02	
 5.9983e-02	 7.4685e-02	
 5.9983e-02	 7.4685e-02	
 5.9982e-02	 7.4686e-02	
