Training loss	Validation loss	
 5.7467e-03	 5.8745e-03	
 5.7169e-03	 5.8630e-03	
 5.7223e-03	 5.8555e-03	
 5.6967e-03	 5.8443e-03	
 5.7023e-03	 5.8372e-03	
 5.6779e-03	 5.8263e-03	
 5.6824e-03	 5.8194e-03	
 5.6577e-03	 5.8086e-03	
 5.6616e-03	 5.8020e-03	
 5.6369e-03	 5.7915e-03	
 5.6426e-03	 5.7851e-03	
 5.6176e-03	 5.7747e-03	
 5.6242e-03	 5.7685e-03	
 5.5991e-03	 5.7583e-03	
 5.6070e-03	 5.7524e-03	
 5.5810e-03	 5.7423e-03	
 5.5900e-03	 5.7366e-03	
 5.5630e-03	 5.7266e-03	
 5.5718e-03	 5.7210e-03	
 5.5441e-03	 5.7112e-03	
 5.5546e-03	 5.7058e-03	
 5.5261e-03	 5.6961e-03	
 5.5391e-03	 5.6909e-03	
 5.5088e-03	 5.6812e-03	
 5.5233e-03	 5.6762e-03	
 5.4920e-03	 5.6667e-03	
 5.5066e-03	 5.6617e-03	
 5.4746e-03	 5.6523e-03	
 5.4893e-03	 5.6475e-03	
 5.4581e-03	 5.6383e-03	
 5.4739e-03	 5.6336e-03	
 5.4430e-03	 5.6244e-03	
 5.4594e-03	 5.6199e-03	
 5.4272e-03	 5.6108e-03	
 5.4455e-03	 5.6064e-03	
 5.4116e-03	 5.5974e-03	
 5.4318e-03	 5.5931e-03	
 5.3955e-03	 5.5842e-03	
 5.4168e-03	 5.5800e-03	
 5.3786e-03	 5.5712e-03	
 5.3999e-03	 5.5671e-03	
 5.3628e-03	 5.5584e-03	
 5.3866e-03	 5.5544e-03	
 5.3487e-03	 5.5458e-03	
 5.3748e-03	 5.5420e-03	
 5.3346e-03	 5.5334e-03	
 5.3623e-03	 5.5297e-03	
 5.3200e-03	 5.5212e-03	
 5.3489e-03	 5.5177e-03	
 5.3045e-03	 5.5093e-03	
 5.3347e-03	 5.5058e-03	
 5.2894e-03	 5.4975e-03	
 5.3210e-03	 5.4941e-03	
 5.2746e-03	 5.4860e-03	
 5.3091e-03	 5.4827e-03	
 5.2614e-03	 5.4746e-03	
 5.2978e-03	 5.4715e-03	
 5.2482e-03	 5.4635e-03	
 5.2862e-03	 5.4605e-03	
 5.2343e-03	 5.4526e-03	
 5.2733e-03	 5.4497e-03	
 5.2207e-03	 5.4418e-03	
 5.2607e-03	 5.4390e-03	
 5.2075e-03	 5.4313e-03	
 5.2490e-03	 5.4286e-03	
 5.1948e-03	 5.4210e-03	
 5.2384e-03	 5.4184e-03	
 5.1825e-03	 5.4109e-03	
 5.2278e-03	 5.4084e-03	
 5.1701e-03	 5.4009e-03	
 5.2163e-03	 5.3986e-03	
 5.1577e-03	 5.3912e-03	
 5.2052e-03	 5.3889e-03	
 5.1456e-03	 5.3816e-03	
 5.1945e-03	 5.3795e-03	
 5.1338e-03	 5.3723e-03	
 5.1835e-03	 5.3702e-03	
 5.1220e-03	 5.3631e-03	
 5.1728e-03	 5.3611e-03	
 5.1105e-03	 5.3541e-03	
 5.1623e-03	 5.3522e-03	
 5.0996e-03	 5.3452e-03	
 5.1524e-03	 5.3435e-03	
 5.0890e-03	 5.3366e-03	
 5.1429e-03	 5.3349e-03	
 5.0783e-03	 5.3281e-03	
 5.1334e-03	 5.3265e-03	
 5.0678e-03	 5.3197e-03	
 5.1232e-03	 5.3182e-03	
 5.0570e-03	 5.3115e-03	
 5.1120e-03	 5.3101e-03	
 5.0466e-03	 5.3035e-03	
 5.1027e-03	 5.3022e-03	
 5.0369e-03	 5.2955e-03	
 5.0939e-03	 5.2943e-03	
 5.0276e-03	 5.2878e-03	
 5.0855e-03	 5.2867e-03	
 5.0183e-03	 5.2801e-03	
 5.0764e-03	 5.2791e-03	
 5.0089e-03	 5.2726e-03	
 5.0674e-03	 5.2717e-03	
 4.9995e-03	 5.2652e-03	
 5.0580e-03	 5.2644e-03	
 4.9906e-03	 5.2579e-03	
 5.0489e-03	 5.2572e-03	
 4.9821e-03	 5.2508e-03	
 5.0395e-03	 5.2501e-03	
 4.9742e-03	 5.2437e-03	
 5.0310e-03	 5.2431e-03	
 4.9671e-03	 5.2368e-03	
 5.0240e-03	 5.2363e-03	
 4.9604e-03	 5.2299e-03	
 5.0166e-03	 5.2295e-03	
 4.9540e-03	 5.2232e-03	
 5.0097e-03	 5.2229e-03	
 4.9473e-03	 5.2165e-03	
 5.0009e-03	 5.2162e-03	
 4.9405e-03	 5.2100e-03	
 4.9920e-03	 5.2097e-03	
 4.9340e-03	 5.2036e-03	
 4.9840e-03	 5.2033e-03	
 4.9283e-03	 5.1973e-03	
 4.9771e-03	 5.1971e-03	
 4.9224e-03	 5.1911e-03	
 4.9703e-03	 5.1909e-03	
 4.9162e-03	 5.1849e-03	
 4.9632e-03	 5.1847e-03	
 4.9098e-03	 5.1789e-03	
 4.9560e-03	 5.1787e-03	
 4.9039e-03	 5.1729e-03	
 4.9498e-03	 5.1728e-03	
 4.8977e-03	 5.1670e-03	
 4.9434e-03	 5.1669e-03	
 4.8915e-03	 5.1612e-03	
