Training loss	Validation loss	
 6.0295e-03	 6.3001e-03	
 6.0207e-03	 6.2923e-03	
 6.0120e-03	 6.2846e-03	
 6.0034e-03	 6.2769e-03	
 5.9949e-03	 6.2694e-03	
 5.9866e-03	 6.2620e-03	
 5.9783e-03	 6.2547e-03	
 5.9702e-03	 6.2474e-03	
 5.9622e-03	 6.2403e-03	
 5.9542e-03	 6.2333e-03	
 5.9464e-03	 6.2264e-03	
 5.9387e-03	 6.2195e-03	
 5.9311e-03	 6.2128e-03	
 5.9236e-03	 6.2061e-03	
 5.9161e-03	 6.1996e-03	
 5.9088e-03	 6.1931e-03	
 5.9016e-03	 6.1867e-03	
 5.8945e-03	 6.1805e-03	
 5.8874e-03	 6.1743e-03	
 5.8805e-03	 6.1682e-03	
 5.8736e-03	 6.1621e-03	
 5.8668e-03	 6.1562e-03	
 5.8602e-03	 6.1504e-03	
 5.8536e-03	 6.1446e-03	
 5.8471e-03	 6.1389e-03	
 5.8407e-03	 6.1333e-03	
 5.8344e-03	 6.1278e-03	
 5.8281e-03	 6.1223e-03	
 5.8220e-03	 6.1169e-03	
 5.8159e-03	 6.1116e-03	
 5.8099e-03	 6.1064e-03	
 5.8039e-03	 6.1012e-03	
 5.7981e-03	 6.0961e-03	
 5.7923e-03	 6.0911e-03	
 5.7866e-03	 6.0861e-03	
 5.7809e-03	 6.0812e-03	
 5.7754e-03	 6.0764e-03	
 5.7699e-03	 6.0716e-03	
 5.7644e-03	 6.0669e-03	
 5.7591e-03	 6.0623e-03	
 5.7538e-03	 6.0577e-03	
 5.7485e-03	 6.0532e-03	
 5.7433e-03	 6.0487e-03	
 5.7382e-03	 6.0443e-03	
 5.7332e-03	 6.0399e-03	
 5.7282e-03	 6.0356e-03	
 5.7232e-03	 6.0313e-03	
 5.7183e-03	 6.0271e-03	
 5.7135e-03	 6.0230e-03	
 5.7087e-03	 6.0189e-03	
 5.7039e-03	 6.0148e-03	
 5.6992e-03	 6.0108e-03	
 5.6946e-03	 6.0068e-03	
 5.6900e-03	 6.0029e-03	
 5.6855e-03	 5.9990e-03	
 5.6810e-03	 5.9951e-03	
 5.6765e-03	 5.9913e-03	
 5.6721e-03	 5.9876e-03	
 5.6678e-03	 5.9838e-03	
 5.6635e-03	 5.9802e-03	
 5.6592e-03	 5.9765e-03	
 5.6549e-03	 5.9729e-03	
 5.6508e-03	 5.9693e-03	
 5.6466e-03	 5.9658e-03	
 5.6425e-03	 5.9623e-03	
 5.6384e-03	 5.9588e-03	
 5.6344e-03	 5.9553e-03	
 5.6303e-03	 5.9519e-03	
 5.6264e-03	 5.9485e-03	
 5.6224e-03	 5.9452e-03	
 5.6185e-03	 5.9419e-03	
 5.6146e-03	 5.9386e-03	
 5.6108e-03	 5.9353e-03	
 5.6070e-03	 5.9321e-03	
 5.6032e-03	 5.9289e-03	
 5.5994e-03	 5.9257e-03	
 5.5957e-03	 5.9225e-03	
 5.5920e-03	 5.9194e-03	
 5.5883e-03	 5.9162e-03	
 5.5847e-03	 5.9132e-03	
 5.5811e-03	 5.9101e-03	
 5.5775e-03	 5.9070e-03	
 5.5739e-03	 5.9040e-03	
 5.5704e-03	 5.9010e-03	
 5.5669e-03	 5.8980e-03	
 5.5634e-03	 5.8951e-03	
 5.5599e-03	 5.8922e-03	
 5.5565e-03	 5.8892e-03	
 5.5531e-03	 5.8863e-03	
 5.5497e-03	 5.8835e-03	
 5.5463e-03	 5.8806e-03	
 5.5430e-03	 5.8777e-03	
 5.5396e-03	 5.8749e-03	
 5.5363e-03	 5.8721e-03	
 5.5330e-03	 5.8693e-03	
 5.5297e-03	 5.8665e-03	
 5.5265e-03	 5.8638e-03	
 5.5233e-03	 5.8610e-03	
 5.5201e-03	 5.8583e-03	
 5.5169e-03	 5.8556e-03	
 5.5137e-03	 5.8529e-03	
 5.5105e-03	 5.8502e-03	
 5.5074e-03	 5.8476e-03	
 5.5043e-03	 5.8449e-03	
 5.5011e-03	 5.8423e-03	
 5.4981e-03	 5.8397e-03	
 5.4950e-03	 5.8370e-03	
 5.4919e-03	 5.8344e-03	
 5.4889e-03	 5.8319e-03	
 5.4859e-03	 5.8293e-03	
 5.4829e-03	 5.8267e-03	
 5.4799e-03	 5.8242e-03	
 5.4769e-03	 5.8217e-03	
 5.4739e-03	 5.8191e-03	
 5.4710e-03	 5.8166e-03	
 5.4680e-03	 5.8141e-03	
 5.4651e-03	 5.8116e-03	
 5.4622e-03	 5.8092e-03	
 5.4593e-03	 5.8067e-03	
 5.4564e-03	 5.8043e-03	
 5.4536e-03	 5.8018e-03	
 5.4507e-03	 5.7994e-03	
 5.4479e-03	 5.7970e-03	
 5.4450e-03	 5.7946e-03	
 5.4422e-03	 5.7922e-03	
 5.4394e-03	 5.7898e-03	
 5.4366e-03	 5.7874e-03	
 5.4338e-03	 5.7850e-03	
 5.4311e-03	 5.7827e-03	
 5.4283e-03	 5.7803e-03	
 5.4256e-03	 5.7780e-03	
 5.4229e-03	 5.7757e-03	
 5.4201e-03	 5.7734e-03	
 5.4174e-03	 5.7710e-03	
 5.4147e-03	 5.7687e-03	
 5.4121e-03	 5.7665e-03	
 5.4094e-03	 5.7642e-03	
 5.4067e-03	 5.7619e-03	
 5.4041e-03	 5.7596e-03	
 5.4014e-03	 5.7574e-03	
 5.3988e-03	 5.7551e-03	
 5.3962e-03	 5.7529e-03	
 5.3936e-03	 5.7507e-03	
 5.3910e-03	 5.7484e-03	
 5.3884e-03	 5.7462e-03	
 5.3859e-03	 5.7440e-03	
 5.3833e-03	 5.7418e-03	
 5.3807e-03	 5.7396e-03	
 5.3782e-03	 5.7375e-03	
 5.3757e-03	 5.7353e-03	
 5.3732e-03	 5.7331e-03	
 5.3707e-03	 5.7310e-03	
 5.3682e-03	 5.7288e-03	
 5.3657e-03	 5.7267e-03	
 5.3632e-03	 5.7246e-03	
 5.3607e-03	 5.7225e-03	
 5.3583e-03	 5.7203e-03	
 5.3558e-03	 5.7182e-03	
 5.3534e-03	 5.7161e-03	
 5.3510e-03	 5.7140e-03	
 5.3486e-03	 5.7120e-03	
 5.3462e-03	 5.7099e-03	
 5.3438e-03	 5.7078e-03	
 5.3414e-03	 5.7058e-03	
 5.3390e-03	 5.7037e-03	
 5.3366e-03	 5.7017e-03	
 5.3343e-03	 5.6996e-03	
 5.3320e-03	 5.6976e-03	
 5.3296e-03	 5.6956e-03	
 5.3273e-03	 5.6936e-03	
