Training loss	Validation loss	
 6.1302e-03	 9.8356e-03	
 6.1228e-03	 9.8235e-03	
 6.1153e-03	 9.8113e-03	
 6.1080e-03	 9.7989e-03	
 6.1007e-03	 9.7869e-03	
 6.0936e-03	 9.7750e-03	
 6.0865e-03	 9.7637e-03	
 6.0796e-03	 9.7515e-03	
 6.0727e-03	 9.7398e-03	
 6.0658e-03	 9.7283e-03	
 6.0590e-03	 9.7161e-03	
 6.0523e-03	 9.7050e-03	
 6.0458e-03	 9.6934e-03	
 6.0393e-03	 9.6821e-03	
 6.0328e-03	 9.6705e-03	
 6.0264e-03	 9.6591e-03	
 6.0201e-03	 9.6479e-03	
 6.0138e-03	 9.6363e-03	
 6.0076e-03	 9.6251e-03	
 6.0015e-03	 9.6144e-03	
 5.9954e-03	 9.6037e-03	
 5.9895e-03	 9.5924e-03	
 5.9834e-03	 9.5813e-03	
 5.9775e-03	 9.5705e-03	
 5.9717e-03	 9.5598e-03	
 5.9659e-03	 9.5492e-03	
 5.9601e-03	 9.5387e-03	
 5.9544e-03	 9.5281e-03	
 5.9488e-03	 9.5177e-03	
 5.9432e-03	 9.5071e-03	
 5.9376e-03	 9.4965e-03	
 5.9321e-03	 9.4861e-03	
 5.9266e-03	 9.4762e-03	
 5.9212e-03	 9.4659e-03	
 5.9158e-03	 9.4558e-03	
 5.9105e-03	 9.4458e-03	
 5.9052e-03	 9.4358e-03	
 5.8999e-03	 9.4257e-03	
 5.8946e-03	 9.4160e-03	
 5.8894e-03	 9.4061e-03	
 5.8843e-03	 9.3960e-03	
 5.8791e-03	 9.3863e-03	
 5.8740e-03	 9.3766e-03	
 5.8690e-03	 9.3669e-03	
 5.8640e-03	 9.3574e-03	
 5.8590e-03	 9.3480e-03	
 5.8540e-03	 9.3383e-03	
 5.8491e-03	 9.3287e-03	
 5.8442e-03	 9.3191e-03	
 5.8393e-03	 9.3098e-03	
 5.8345e-03	 9.3004e-03	
 5.8297e-03	 9.2911e-03	
 5.8249e-03	 9.2819e-03	
 5.8202e-03	 9.2728e-03	
 5.8155e-03	 9.2636e-03	
 5.8108e-03	 9.2545e-03	
 5.8061e-03	 9.2456e-03	
 5.8015e-03	 9.2364e-03	
 5.7968e-03	 9.2274e-03	
 5.7923e-03	 9.2184e-03	
 5.7877e-03	 9.2095e-03	
 5.7832e-03	 9.2007e-03	
 5.7787e-03	 9.1918e-03	
 5.7742e-03	 9.1830e-03	
 5.7697e-03	 9.1742e-03	
 5.7653e-03	 9.1653e-03	
 5.7609e-03	 9.1565e-03	
 5.7565e-03	 9.1476e-03	
 5.7521e-03	 9.1389e-03	
 5.7477e-03	 9.1302e-03	
 5.7434e-03	 9.1216e-03	
 5.7391e-03	 9.1130e-03	
 5.7348e-03	 9.1043e-03	
 5.7306e-03	 9.0958e-03	
 5.7263e-03	 9.0871e-03	
 5.7221e-03	 9.0787e-03	
 5.7179e-03	 9.0703e-03	
 5.7138e-03	 9.0618e-03	
 5.7096e-03	 9.0535e-03	
 5.7055e-03	 9.0451e-03	
 5.7013e-03	 9.0367e-03	
 5.6972e-03	 9.0283e-03	
 5.6932e-03	 9.0201e-03	
 5.6891e-03	 9.0119e-03	
 5.6851e-03	 9.0037e-03	
 5.6811e-03	 8.9955e-03	
 5.6771e-03	 8.9873e-03	
 5.6731e-03	 8.9791e-03	
 5.6692e-03	 8.9710e-03	
 5.6652e-03	 8.9629e-03	
 5.6613e-03	 8.9547e-03	
 5.6574e-03	 8.9466e-03	
 5.6534e-03	 8.9384e-03	
 5.6496e-03	 8.9301e-03	
 5.6457e-03	 8.9219e-03	
 5.6418e-03	 8.9137e-03	
 5.6380e-03	 8.9057e-03	
 5.6342e-03	 8.8977e-03	
 5.6303e-03	 8.8896e-03	
 5.6265e-03	 8.8817e-03	
 5.6228e-03	 8.8738e-03	
 5.6190e-03	 8.8659e-03	
 5.6152e-03	 8.8579e-03	
 5.6115e-03	 8.8501e-03	
 5.6077e-03	 8.8422e-03	
 5.6040e-03	 8.8343e-03	
 5.6002e-03	 8.8263e-03	
 5.5965e-03	 8.8185e-03	
 5.5928e-03	 8.8106e-03	
 5.5891e-03	 8.8028e-03	
 5.5855e-03	 8.7950e-03	
 5.5818e-03	 8.7871e-03	
 5.5781e-03	 8.7793e-03	
 5.5745e-03	 8.7715e-03	
 5.5708e-03	 8.7636e-03	
 5.5672e-03	 8.7557e-03	
 5.5636e-03	 8.7478e-03	
 5.5600e-03	 8.7399e-03	
 5.5563e-03	 8.7320e-03	
 5.5528e-03	 8.7240e-03	
 5.5492e-03	 8.7161e-03	
 5.5455e-03	 8.7081e-03	
 5.5420e-03	 8.7002e-03	
 5.5384e-03	 8.6921e-03	
 5.5348e-03	 8.6841e-03	
 5.5313e-03	 8.6760e-03	
 5.5277e-03	 8.6679e-03	
 5.5242e-03	 8.6598e-03	
 5.5206e-03	 8.6517e-03	
 5.5170e-03	 8.6435e-03	
 5.5134e-03	 8.6353e-03	
 5.5098e-03	 8.6269e-03	
 5.5063e-03	 8.6186e-03	
 5.5027e-03	 8.6102e-03	
 5.4991e-03	 8.6016e-03	
 5.4955e-03	 8.5931e-03	
 5.4919e-03	 8.5846e-03	
 5.4882e-03	 8.5759e-03	
 5.4846e-03	 8.5672e-03	
 5.4810e-03	 8.5584e-03	
 5.4774e-03	 8.5496e-03	
 5.4737e-03	 8.5405e-03	
 5.4700e-03	 8.5314e-03	
 5.4663e-03	 8.5223e-03	
 5.4627e-03	 8.5131e-03	
 5.4589e-03	 8.5038e-03	
 5.4552e-03	 8.4942e-03	
 5.4515e-03	 8.4846e-03	
 5.4477e-03	 8.4748e-03	
 5.4439e-03	 8.4649e-03	
 5.4401e-03	 8.4550e-03	
 5.4362e-03	 8.4447e-03	
 5.4324e-03	 8.4343e-03	
 5.4285e-03	 8.4237e-03	
 5.4245e-03	 8.4130e-03	
 5.4206e-03	 8.4020e-03	
 5.4166e-03	 8.3908e-03	
 5.4125e-03	 8.3793e-03	
 5.4084e-03	 8.3676e-03	
 5.4042e-03	 8.3557e-03	
 5.4001e-03	 8.3434e-03	
 5.3958e-03	 8.3308e-03	
 5.3914e-03	 8.3179e-03	
 5.3870e-03	 8.3046e-03	
 5.3825e-03	 8.2909e-03	
 5.3780e-03	 8.2768e-03	
 5.3733e-03	 8.2622e-03	
 5.3686e-03	 8.2472e-03	
 5.3637e-03	 8.2315e-03	
 5.3588e-03	 8.2155e-03	
 5.3538e-03	 8.1989e-03	
 5.3486e-03	 8.1816e-03	
 5.3433e-03	 8.1636e-03	
 5.3378e-03	 8.1449e-03	
 5.3321e-03	 8.1253e-03	
 5.3263e-03	 8.1049e-03	
 5.3204e-03	 8.0837e-03	
 5.3142e-03	 8.0614e-03	
 5.3078e-03	 8.0382e-03	
 5.3012e-03	 8.0136e-03	
 5.2944e-03	 7.9878e-03	
 5.2872e-03	 7.9607e-03	
 5.2798e-03	 7.9321e-03	
 5.2720e-03	 7.9019e-03	
 5.2640e-03	 7.8699e-03	
 5.2554e-03	 7.8361e-03	
 5.2466e-03	 7.8004e-03	
 5.2374e-03	 7.7621e-03	
 5.2276e-03	 7.7214e-03	
 5.2174e-03	 7.6782e-03	
 5.2067e-03	 7.6318e-03	
 5.1953e-03	 7.5823e-03	
 5.1833e-03	 7.5294e-03	
 5.1706e-03	 7.4729e-03	
 5.1573e-03	 7.4121e-03	
 5.1433e-03	 7.3479e-03	
 5.1285e-03	 7.2801e-03	
 5.1130e-03	 7.2087e-03	
 5.0967e-03	 7.1332e-03	
 5.0794e-03	 7.0547e-03	
 5.0613e-03	 6.9730e-03	
 5.0427e-03	 6.8890e-03	
 5.0232e-03	 6.8022e-03	
 5.0031e-03	 6.7146e-03	
 4.9827e-03	 6.6275e-03	
 4.9621e-03	 6.5426e-03	
 4.9420e-03	 6.4605e-03	
 4.9227e-03	 6.3819e-03	
 4.9041e-03	 6.3061e-03	
 4.8863e-03	 6.2365e-03	
 4.8699e-03	 6.1728e-03	
 4.8547e-03	 6.1156e-03	
 4.8405e-03	 6.0648e-03	
 4.8274e-03	 6.0193e-03	
 4.8140e-03	 5.9798e-03	
 4.8017e-03	 5.9459e-03	
 4.7899e-03	 5.9175e-03	
 4.7794e-03	 5.8931e-03	
 4.7697e-03	 5.8726e-03	
 4.7610e-03	 5.8544e-03	
 4.7528e-03	 5.8384e-03	
 4.7453e-03	 5.8241e-03	
 4.7385e-03	 5.8106e-03	
 4.7320e-03	 5.7982e-03	
 4.7259e-03	 5.7862e-03	
 4.7201e-03	 5.7752e-03	
 4.7148e-03	 5.7645e-03	
 4.7098e-03	 5.7540e-03	
 4.7050e-03	 5.7440e-03	
 4.7004e-03	 5.7345e-03	
 4.6960e-03	 5.7251e-03	
 4.6917e-03	 5.7163e-03	
 4.6879e-03	 5.7075e-03	
 4.6840e-03	 5.6984e-03	
 4.6802e-03	 5.6909e-03	
 4.6768e-03	 5.6828e-03	
 4.6733e-03	 5.6752e-03	
 4.6700e-03	 5.6677e-03	
 4.6668e-03	 5.6605e-03	
 4.6636e-03	 5.6515e-03	
 4.6605e-03	 5.6441e-03	
 4.6575e-03	 5.6374e-03	
 4.6547e-03	 5.6313e-03	
 4.6519e-03	 5.6247e-03	
 4.6491e-03	 5.6185e-03	
 4.6465e-03	 5.6125e-03	
 4.6438e-03	 5.6069e-03	
 4.6413e-03	 5.6014e-03	
 4.6388e-03	 5.5955e-03	
 4.6362e-03	 5.5901e-03	
 4.6339e-03	 5.5849e-03	
 4.6314e-03	 5.5791e-03	
 4.6290e-03	 5.5740e-03	
 4.6267e-03	 5.5692e-03	
 4.6245e-03	 5.5643e-03	
 4.6222e-03	 5.5591e-03	
 4.6199e-03	 5.5546e-03	
 4.6177e-03	 5.5493e-03	
 4.6154e-03	 5.5445e-03	
 4.6132e-03	 5.5401e-03	
